"location","date","total_cases","total_deaths"
"Indonesia","2019-12-31",0,0
"Indonesia","2020-01-01",0,0
"Indonesia","2020-01-02",0,0
"Indonesia","2020-01-03",0,0
"Indonesia","2020-01-04",0,0
"Indonesia","2020-01-05",0,0
"Indonesia","2020-01-06",0,0
"Indonesia","2020-01-07",0,0
"Indonesia","2020-01-08",0,0
"Indonesia","2020-01-09",0,0
"Indonesia","2020-01-10",0,0
"Indonesia","2020-01-11",0,0
"Indonesia","2020-01-12",0,0
"Indonesia","2020-01-13",0,0
"Indonesia","2020-01-14",0,0
"Indonesia","2020-01-15",0,0
"Indonesia","2020-01-16",0,0
"Indonesia","2020-01-17",0,0
"Indonesia","2020-01-18",0,0
"Indonesia","2020-01-19",0,0
"Indonesia","2020-01-20",0,0
"Indonesia","2020-01-21",0,0
"Indonesia","2020-01-22",0,0
"Indonesia","2020-01-23",0,0
"Indonesia","2020-01-24",0,0
"Indonesia","2020-01-25",0,0
"Indonesia","2020-01-26",0,0
"Indonesia","2020-01-27",0,0
"Indonesia","2020-01-28",0,0
"Indonesia","2020-01-29",0,0
"Indonesia","2020-01-30",0,0
"Indonesia","2020-01-31",0,0
"Indonesia","2020-02-01",0,0
"Indonesia","2020-02-02",0,0
"Indonesia","2020-02-03",0,0
"Indonesia","2020-02-04",0,0
"Indonesia","2020-02-05",0,0
"Indonesia","2020-02-06",0,0
"Indonesia","2020-02-07",0,0
"Indonesia","2020-02-08",0,0
"Indonesia","2020-02-09",0,0
"Indonesia","2020-02-10",0,0
"Indonesia","2020-02-11",0,0
"Indonesia","2020-02-12",0,0
"Indonesia","2020-02-13",0,0
"Indonesia","2020-02-14",0,0
"Indonesia","2020-02-15",0,0
"Indonesia","2020-02-16",0,0
"Indonesia","2020-02-17",0,0
"Indonesia","2020-02-18",0,0
"Indonesia","2020-02-19",0,0
"Indonesia","2020-02-20",0,0
"Indonesia","2020-02-21",0,0
"Indonesia","2020-02-22",0,0
"Indonesia","2020-02-23",0,0
"Indonesia","2020-02-24",0,0
"Indonesia","2020-02-25",0,0
"Indonesia","2020-02-26",0,0
"Indonesia","2020-02-27",0,0
"Indonesia","2020-02-28",0,0
"Indonesia","2020-02-29",0,0
"Indonesia","2020-03-01",0,0
"Indonesia","2020-03-02",2,0
"Indonesia","2020-03-07",4,0
"Indonesia","2020-03-09",6,0
"Indonesia","2020-03-11",19,0
"Indonesia","2020-03-12",34,1
"Indonesia","2020-03-14",69,4
"Indonesia","2020-03-15",96,4
"Indonesia","2020-03-16",117,5
"Indonesia","2020-03-17",134,5
"Indonesia","2020-03-18",172,5
"Indonesia","2020-03-19",172,5
"Indonesia","2020-03-20",227,19
"Indonesia","2020-03-21",309,25
"Indonesia","2020-03-22",450,38
"Indonesia","2020-03-23",514,48
"Indonesia","2020-03-24",579,49
"Indonesia","2020-03-25",686,55
"Indonesia","2020-03-26",790,58
"Indonesia","2020-03-27",893,78
"Indonesia","2020-03-28",1046,87
"Indonesia","2020-03-29",1155,102
"Indonesia","2020-03-30",1285,114
"Indonesia","2020-03-31",1414,122
"Indonesia","2020-04-01",1528,136
"Indonesia","2020-04-02",1677,157
"Indonesia","2020-04-03",1790,170
"Indonesia","2020-04-04",1986,181
"Indonesia","2020-04-05",2092,191
"Indonesia","2020-04-06",2273,198
"Indonesia","2020-04-07",2491,209
"Indonesia","2020-04-08",2738,221
"Indonesia","2020-04-09",2956,240
"Indonesia","2020-04-10",3293,280
"Indonesia","2020-04-11",3512,306
"Indonesia","2020-04-12",3842,327
"Indonesia","2020-04-13",4241,373
