"location","date","total_cases","total_deaths"
"Senegal","2020-03-02",NA,NA
"Senegal","2020-03-03",1,0
"Senegal","2020-03-04",NA,NA
"Senegal","2020-03-05",3,0
"Senegal","2020-03-06",4,0
"Senegal","2020-03-07",NA,NA
"Senegal","2020-03-08",NA,NA
"Senegal","2020-03-09",NA,NA
"Senegal","2020-03-10",NA,NA
"Senegal","2020-03-11",NA,NA
"Senegal","2020-03-12",NA,NA
"Senegal","2020-03-13",6,0
"Senegal","2020-03-14",19,0
"Senegal","2020-03-15",21,0
"Senegal","2020-03-16",26,0
"Senegal","2020-03-17",27,0
"Senegal","2020-03-18",31,0
"Senegal","2020-03-19",36,0
"Senegal","2020-03-20",36,0
"Senegal","2020-03-21",47,0
"Senegal","2020-03-22",56,0
"Senegal","2020-03-23",67,0
"Senegal","2020-03-24",79,0
"Senegal","2020-03-25",86,0
"Senegal","2020-03-26",99,0
"Senegal","2020-03-27",105,0
"Senegal","2020-03-28",119,0
"Senegal","2020-03-29",130,0
"Senegal","2020-03-30",142,0
"Senegal","2020-03-31",162,0
"Senegal","2020-04-01",175,0
"Senegal","2020-04-02",190,1
"Senegal","2020-04-03",195,1
"Senegal","2020-04-04",207,1
"Senegal","2020-04-05",219,2
"Senegal","2020-04-06",222,2
"Senegal","2020-04-07",226,2
"Senegal","2020-04-08",237,2
"Senegal","2020-04-09",244,2
"Senegal","2020-04-10",250,2
"Senegal","2020-04-11",265,2
"Senegal","2020-04-12",278,2
"Senegal","2020-04-13",280,2
"Senegal","2020-04-14",291,2
"Senegal","2020-04-15",299,2
"Senegal","2020-04-16",314,2
"Senegal","2020-04-17",335,2
"Senegal","2020-04-18",342,3
"Senegal","2020-04-19",350,3
"Senegal","2020-04-20",367,4
"Senegal","2020-04-21",377,5
"Senegal","2020-04-22",412,5
"Senegal","2020-04-23",442,6
"Senegal","2020-04-24",479,6
"Senegal","2020-04-25",545,7
"Senegal","2020-04-26",614,7
"Senegal","2020-04-27",671,9
"Senegal","2020-04-28",735,9
"Senegal","2020-04-29",823,9
"Senegal","2020-04-30",882,9
"Senegal","2020-05-01",933,9
"Senegal","2020-05-02",1024,9
"Senegal","2020-05-03",1115,9
"Senegal","2020-05-04",1182,9
"Senegal","2020-05-05",1271,10
"Senegal","2020-05-06",1329,11
"Senegal","2020-05-07",1433,12
"Senegal","2020-05-08",1492,13
"Senegal","2020-05-09",1551,14
"Senegal","2020-05-10",1634,17
"Senegal","2020-05-11",1709,19
"Senegal","2020-05-12",1886,19
"Senegal","2020-05-13",1995,19
"Senegal","2020-05-14",2105,22
"Senegal","2020-05-15",2189,23
"Senegal","2020-05-16",2310,25
"Senegal","2020-05-17",2429,25
"Senegal","2020-05-18",2480,26
"Senegal","2020-05-19",2544,26
"Senegal","2020-05-20",2617,30
"Senegal","2020-05-21",2714,30
"Senegal","2020-05-22",2812,33
"Senegal","2020-05-23",2909,33
"Senegal","2020-05-24",2976,35
"Senegal","2020-05-25",3047,35
"Senegal","2020-05-26",3130,36
"Senegal","2020-05-27",3161,37
"Senegal","2020-05-28",3253,39
"Senegal","2020-05-29",3348,41
"Senegal","2020-05-30",3429,41
"Senegal","2020-05-31",3535,42
"Senegal","2020-06-01",3645,42
"Senegal","2020-06-02",3739,42
"Senegal","2020-06-03",3836,43
"Senegal","2020-06-04",3932,45
"Senegal","2020-06-05",4021,45
"Senegal","2020-06-06",4155,45
"Senegal","2020-06-07",4249,47
"Senegal","2020-06-08",4328,49
"Senegal","2020-06-09",4427,52
"Senegal","2020-06-10",4516,52
"Senegal","2020-06-11",4640,54
"Senegal","2020-06-12",4759,56
"Senegal","2020-06-13",4851,56
"Senegal","2020-06-14",4996,60
"Senegal","2020-06-15",5090,60
"Senegal","2020-06-16",5173,64
"Senegal","2020-06-17",5247,70
"Senegal","2020-06-18",5369,73
"Senegal","2020-06-19",5475,76
"Senegal","2020-06-20",5639,79
"Senegal","2020-06-21",5738,82
"Senegal","2020-06-22",5888,84
"Senegal","2020-06-23",5970,86
"Senegal","2020-06-24",6034,89
