date,location,total_cases,total_deaths
2019-12-31,Pakistan,0.0,0.0
2020-01-01,Pakistan,0.0,0.0
2020-01-02,Pakistan,0.0,0.0
2020-01-03,Pakistan,0.0,0.0
2020-01-04,Pakistan,0.0,0.0
2020-01-05,Pakistan,0.0,0.0
2020-01-06,Pakistan,0.0,0.0
2020-01-07,Pakistan,0.0,0.0
2020-01-08,Pakistan,0.0,0.0
2020-01-09,Pakistan,0.0,0.0
2020-01-10,Pakistan,0.0,0.0
2020-01-11,Pakistan,0.0,0.0
2020-01-12,Pakistan,0.0,0.0
2020-01-13,Pakistan,0.0,0.0
2020-01-14,Pakistan,0.0,0.0
2020-01-15,Pakistan,0.0,0.0
2020-01-16,Pakistan,0.0,0.0
2020-01-17,Pakistan,0.0,0.0
2020-01-18,Pakistan,0.0,0.0
2020-01-19,Pakistan,0.0,0.0
2020-01-20,Pakistan,0.0,0.0
2020-01-21,Pakistan,0.0,0.0
2020-01-22,Pakistan,0.0,0.0
2020-01-23,Pakistan,0.0,0.0
2020-01-24,Pakistan,0.0,0.0
2020-01-25,Pakistan,0.0,0.0
2020-01-26,Pakistan,0.0,0.0
2020-01-27,Pakistan,0.0,0.0
2020-01-28,Pakistan,0.0,0.0
2020-01-29,Pakistan,0.0,0.0
2020-01-30,Pakistan,0.0,0.0
2020-01-31,Pakistan,0.0,0.0
2020-02-01,Pakistan,0.0,0.0
2020-02-02,Pakistan,0.0,0.0
2020-02-03,Pakistan,0.0,0.0
2020-02-04,Pakistan,0.0,0.0
2020-02-05,Pakistan,0.0,0.0
2020-02-06,Pakistan,0.0,0.0
2020-02-07,Pakistan,0.0,0.0
2020-02-08,Pakistan,0.0,0.0
2020-02-09,Pakistan,0.0,0.0
2020-02-10,Pakistan,0.0,0.0
2020-02-11,Pakistan,0.0,0.0
2020-02-12,Pakistan,0.0,0.0
2020-02-13,Pakistan,0.0,0.0
2020-02-14,Pakistan,0.0,0.0
2020-02-15,Pakistan,0.0,0.0
2020-02-16,Pakistan,0.0,0.0
2020-02-17,Pakistan,0.0,0.0
2020-02-18,Pakistan,0.0,0.0
2020-02-19,Pakistan,0.0,0.0
2020-02-20,Pakistan,0.0,0.0
2020-02-21,Pakistan,0.0,0.0
2020-02-22,Pakistan,0.0,0.0
2020-02-23,Pakistan,0.0,0.0
2020-02-24,Pakistan,0.0,0.0
2020-02-25,Pakistan,0.0,0.0
2020-02-26,Pakistan,0.0,0.0
2020-02-27,Pakistan,2.0,0.0
2020-02-28,Pakistan,2.0,0.0
2020-02-29,Pakistan,2.0,0.0
2020-03-01,Pakistan,4.0,0.0
2020-03-02,Pakistan,4.0,0.0
2020-03-03,Pakistan,NA,NA
2020-03-04,Pakistan,5.0,0.0
2020-03-05,Pakistan,NA,NA
2020-03-06,Pakistan,NA,NA
2020-03-07,Pakistan,6.0,0.0
2020-03-08,Pakistan,NA,NA
2020-03-09,Pakistan,NA,NA
2020-03-10,Pakistan,16.0,0.0
2020-03-11,Pakistan,16.0,0.0
2020-03-12,Pakistan,20.0,0.0
2020-03-13,Pakistan,21.0,0.0
2020-03-14,Pakistan,21.0,0.0
2020-03-15,Pakistan,30.0,0.0
2020-03-16,Pakistan,31.0,0.0
2020-03-17,Pakistan,187.0,0.0
2020-03-18,Pakistan,187.0,0.0
2020-03-19,Pakistan,302.0,0.0
2020-03-20,Pakistan,478.0,2.0
2020-03-21,Pakistan,495.0,3.0
2020-03-22,Pakistan,646.0,3.0
2020-03-23,Pakistan,784.0,5.0
2020-03-24,Pakistan,887.0,6.0
2020-03-25,Pakistan,991.0,7.0
2020-03-26,Pakistan,1057.0,8.0
2020-03-27,Pakistan,1197.0,9.0
2020-03-28,Pakistan,1197.0,9.0
2020-03-29,Pakistan,1408.0,11.0
2020-03-30,Pakistan,1526.0,13.0
2020-03-31,Pakistan,1625.0,18.0
2020-04-01,Pakistan,2039.0,26.0
2020-04-02,Pakistan,2291.0,31.0
2020-04-03,Pakistan,2291.0,31.0
2020-04-04,Pakistan,2291.0,31.0
2020-04-05,Pakistan,2450.0,35.0
2020-04-06,Pakistan,3277.0,50.0
2020-04-07,Pakistan,3864.0,54.0
2020-04-08,Pakistan,4072.0,58.0
2020-04-09,Pakistan,4322.0,63.0
2020-04-10,Pakistan,4601.0,66.0
2020-04-11,Pakistan,4788.0,71.0
2020-04-12,Pakistan,5038.0,86.0
2020-04-13,Pakistan,5374.0,93.0
2020-04-14,Pakistan,5716.0,96.0
2020-04-15,Pakistan,5988.0,107.0
2020-04-16,Pakistan,6505.0,124.0
2020-04-17,Pakistan,7025.0,135.0
2020-04-18,Pakistan,7481.0,143.0
2020-04-19,Pakistan,7993.0,159.0
