location,date,total_cases,total_deaths
Bangladesh,04-03-2020,0,0
Bangladesh,05-03-2020,NA,NA
Bangladesh,06-03-2020,NA,NA
Bangladesh,07-03-2020,NA,NA
Bangladesh,08-03-2020,NA,NA
Bangladesh,09-03-2020,3,0
Bangladesh,10-03-2020,NA,NA
Bangladesh,11-03-2020,NA,NA
Bangladesh,12-03-2020,NA,NA
Bangladesh,13-03-2020,NA,NA
Bangladesh,14-03-2020,NA,NA
Bangladesh,15-03-2020,3,0
Bangladesh,16-03-2020,NA,NA
Bangladesh,17-03-2020,5,0
Bangladesh,18-03-2020,8,0
Bangladesh,19-03-2020,10,0
Bangladesh,20-03-2020,10,0
Bangladesh,21-03-2020,17,0
Bangladesh,22-03-2020,24,2
Bangladesh,23-03-2020,27,3
Bangladesh,24-03-2020,33,3
Bangladesh,25-03-2020,39,4
Bangladesh,26-03-2020,39,5
Bangladesh,27-03-2020,48,5
Bangladesh,28-03-2020,48,5
Bangladesh,29-03-2020,48,5
Bangladesh,30-03-2020,49,5
Bangladesh,31-03-2020,49,5
Bangladesh,01-04-2020,51,5
Bangladesh,02-04-2020,54,6
Bangladesh,03-04-2020,56,6
Bangladesh,04-04-2020,61,6
Bangladesh,05-04-2020,70,8
Bangladesh,06-04-2020,88,9
Bangladesh,07-04-2020,123,12
Bangladesh,08-04-2020,164,17
Bangladesh,09-04-2020,218,20
Bangladesh,10-04-2020,330,21
Bangladesh,11-04-2020,424,27
Bangladesh,12-04-2020,482,30
Bangladesh,13-04-2020,621,34
Bangladesh,14-04-2020,803,39
Bangladesh,15-04-2020,1012,46
Bangladesh,16-04-2020,1231,50
Bangladesh,17-04-2020,1572,60
Bangladesh,18-04-2020,1838,75
Bangladesh,19-04-2020,2144,84
Bangladesh,20-04-2020,2456,91
Bangladesh,21-04-2020,2948,101
Bangladesh,22-04-2020,3382,110
Bangladesh,23-04-2020,3772,120
Bangladesh,24-04-2020,4186,127
Bangladesh,25-04-2020,4689,131
Bangladesh,26-04-2020,4998,140
Bangladesh,27-04-2020,5416,145
Bangladesh,28-04-2020,5913,152
Bangladesh,29-04-2020,6462,155
Bangladesh,30-04-2020,7103,163
Bangladesh,01-05-2020,7667,168
Bangladesh,02-05-2020,8238,170
Bangladesh,03-05-2020,8790,175
Bangladesh,04-05-2020,9455,177
Bangladesh,05-05-2020,10143,182
Bangladesh,06-05-2020,10929,183
Bangladesh,07-05-2020,11719,186
Bangladesh,08-05-2020,12425,199
Bangladesh,09-05-2020,13134,206
Bangladesh,10-05-2020,13770,214
Bangladesh,11-05-2020,14657,228
Bangladesh,12-05-2020,15691,239
Bangladesh,13-05-2020,16660,250
Bangladesh,14-05-2020,17822,269
Bangladesh,15-05-2020,18863,283
Bangladesh,16-05-2020,20065,298
Bangladesh,17-05-2020,20995,314
Bangladesh,18-05-2020,22268,328
Bangladesh,19-05-2020,23870,349
Bangladesh,20-05-2020,25121,370
Bangladesh,21-05-2020,26738,386
Bangladesh,22-05-2020,28511,408
Bangladesh,23-05-2020,30205,432
Bangladesh,24-05-2020,32078,452
Bangladesh,25-05-2020,33610,480
Bangladesh,26-05-2020,35585,501
Bangladesh,27-05-2020,36751,522
Bangladesh,28-05-2020,38292,544
Bangladesh,29-05-2020,40321,559
Bangladesh,30-05-2020,42844,582
Bangladesh,31-05-2020,44608,610
Bangladesh,01-06-2020,47153,650
Bangladesh,02-06-2020,49534,672
Bangladesh,03-06-2020,52445,709
Bangladesh,04-06-2020,55140,746
Bangladesh,05-06-2020,57563,781
Bangladesh,06-06-2020,60391,811
Bangladesh,07-06-2020,63026,846
Bangladesh,08-06-2020,65769,888
Bangladesh,09-06-2020,68504,930
Bangladesh,10-06-2020,71675,975
Bangladesh,11-06-2020,74865,1012
Bangladesh,12-06-2020,78052,1049
Bangladesh,13-06-2020,81523,1095
Bangladesh,14-06-2020,84379,1139
Bangladesh,15-06-2020,87520,1171
Bangladesh,16-06-2020,90619,1209
Bangladesh,17-06-2020,94481,1262
Bangladesh,18-06-2020,98489,1305
Bangladesh,19-06-2020,102292,1343
Bangladesh,20-06-2020,105535,1388
Bangladesh,21-06-2020,108775,1425
Bangladesh,22-06-2020,112306,1464
Bangladesh,23-06-2020,115786,1502
Bangladesh,24-06-2020,119198,1545
Bangladesh,25-06-2020,122660,1582
Bangladesh,26-06-2020,126606,1621
Bangladesh,27-06-2020,130474,1661
Bangladesh,28-06-2020,133978,1695
Bangladesh,29-06-2020,137787,1738
Bangladesh,30-06-2020,141801,1783
Bangladesh,01-07-2020,145483,1847
Bangladesh,02-07-2020,149258,1888
Bangladesh,03-07-2020,153277,1926
Bangladesh,04-07-2020,156391,1968
Bangladesh,05-07-2020,159679,1997
