date,location,total_cases,total_deaths
2020-03-19,El Salvador,1,0
2020-03-20,El Salvador,1,0
2020-03-21,El Salvador,3,0
2020-03-22,El Salvador,3,0
2020-03-23,El Salvador,3,0
2020-03-24,El Salvador,5,0
2020-03-25,El Salvador,9,0
2020-03-26,El Salvador,13,0
2020-03-27,El Salvador,13,0
2020-03-28,El Salvador,13,0
2020-03-29,El Salvador,19,0
2020-03-30,El Salvador,30,0
2020-03-31,El Salvador,32,0
2020-04-01,El Salvador,32,1
2020-04-02,El Salvador,41,2
2020-04-03,El Salvador,46,2
2020-04-04,El Salvador,56,3
2020-04-05,El Salvador,62,3
2020-04-06,El Salvador,69,3
2020-04-07,El Salvador,78,4
2020-04-08,El Salvador,78,4
2020-04-09,El Salvador,103,5
2020-04-10,El Salvador,117,6
2020-04-11,El Salvador,118,6
2020-04-12,El Salvador,118,6
2020-04-13,El Salvador,125,6
2020-04-14,El Salvador,149,6
2020-04-15,El Salvador,159,6
2020-04-16,El Salvador,159,6
2020-04-17,El Salvador,164,6
2020-04-18,El Salvador,177,7
2020-04-19,El Salvador,190,7
2020-04-20,El Salvador,201,7
2020-04-21,El Salvador,218,7
2020-04-22,El Salvador,225,7
2020-04-23,El Salvador,237,8
2020-04-24,El Salvador,250,8
2020-04-25,El Salvador,261,8
2020-04-26,El Salvador,298,8
2020-04-27,El Salvador,298,8
2020-04-28,El Salvador,323,8
2020-04-29,El Salvador,345,9
2020-04-30,El Salvador,377,9
2020-05-01,El Salvador,424,10
2020-05-02,El Salvador,446,10
2020-05-03,El Salvador,446,11
2020-05-04,El Salvador,555,12
2020-05-05,El Salvador,587,13
2020-05-06,El Salvador,587,14
2020-05-07,El Salvador,695,15
2020-05-08,El Salvador,695,15
2020-05-09,El Salvador,784,16
2020-05-10,El Salvador,889,17
2020-05-11,El Salvador,958,17
2020-05-12,El Salvador,998,18
2020-05-13,El Salvador,1037,20
2020-05-14,El Salvador,1112,20
2020-05-15,El Salvador,1210,23
2020-05-16,El Salvador,1265,25
2020-05-17,El Salvador,1265,26
2020-05-18,El Salvador,1338,30
2020-05-19,El Salvador,1413,30
2020-05-20,El Salvador,1498,31
2020-05-21,El Salvador,1571,32
2020-05-22,El Salvador,1640,33
2020-05-23,El Salvador,1725,33
2020-05-24,El Salvador,1819,35
2020-05-25,El Salvador,1915,35
2020-05-26,El Salvador,1983,36
2020-05-27,El Salvador,2042,36
2020-05-28,El Salvador,2109,39
2020-05-29,El Salvador,2194,39
2020-05-30,El Salvador,2278,43
2020-05-31,El Salvador,2517,46
2020-06-01,El Salvador,2517,46
2020-06-02,El Salvador,2582,46
2020-06-03,El Salvador,2653,49
2020-06-04,El Salvador,2705,51
2020-06-05,El Salvador,2781,52
2020-06-06,El Salvador,2849,53
2020-06-07,El Salvador,2934,53
2020-06-08,El Salvador,3015,55
2020-06-09,El Salvador,3104,58
2020-06-10,El Salvador,3191,60
2020-06-11,El Salvador,3274,64
2020-06-12,El Salvador,3481,68
2020-06-13,El Salvador,3481,72
2020-06-14,El Salvador,3603,72
2020-06-15,El Salvador,3720,74
2020-06-16,El Salvador,3826,76
2020-06-17,El Salvador,3941,78
2020-06-18,El Salvador,4066,82
2020-06-19,El Salvador,4200,86
2020-06-20,El Salvador,4329,93
2020-06-21,El Salvador,4626,98
2020-06-22,El Salvador,4626,107
2020-06-23,El Salvador,4808,107
2020-06-24,El Salvador,4973,113
