"date","location","total_cases","total_deaths"
"2020-04-09","Sao Tome and Principe",4,0
"2020-04-10","Sao Tome and Principe",4,0
"2020-04-11","Sao Tome and Principe",4,0
"2020-04-12","Sao Tome and Principe",4,0
"2020-04-13","Sao Tome and Principe",4,0
"2020-04-14","Sao Tome and Principe",4,0
"2020-04-15","Sao Tome and Principe",4,0
"2020-04-16","Sao Tome and Principe",4,0
"2020-04-17","Sao Tome and Principe",4,0
"2020-04-18","Sao Tome and Principe",4,0
"2020-04-19","Sao Tome and Principe",4,0
"2020-04-20","Sao Tome and Principe",4,0
"2020-04-21","Sao Tome and Principe",4,0
"2020-04-22","Sao Tome and Principe",4,0
"2020-04-23","Sao Tome and Principe",7,0
"2020-04-24","Sao Tome and Principe",8,0
"2020-04-25","Sao Tome and Principe",8,0
"2020-04-26","Sao Tome and Principe",8,0
"2020-04-27","Sao Tome and Principe",8,0
"2020-04-28","Sao Tome and Principe",8,0
"2020-04-29","Sao Tome and Principe",11,0
"2020-04-30","Sao Tome and Principe",14,0
"2020-05-01","Sao Tome and Principe",16,1
"2020-05-02","Sao Tome and Principe",18,1
"2020-05-03","Sao Tome and Principe",18,1
"2020-05-04","Sao Tome and Principe",18,1
"2020-05-05","Sao Tome and Principe",174,3
"2020-05-06","Sao Tome and Principe",174,3
"2020-05-07","Sao Tome and Principe",174,3
"2020-05-08","Sao Tome and Principe",187,4
"2020-05-09","Sao Tome and Principe",208,5
"2020-05-10","Sao Tome and Principe",208,5
"2020-05-11","Sao Tome and Principe",208,5
"2020-05-12","Sao Tome and Principe",212,5
"2020-05-13","Sao Tome and Principe",220,6
"2020-05-14","Sao Tome and Principe",235,7
"2020-05-15","Sao Tome and Principe",235,7
"2020-05-16","Sao Tome and Principe",235,7
"2020-05-17","Sao Tome and Principe",235,7
"2020-05-18","Sao Tome and Principe",235,7
"2020-05-19","Sao Tome and Principe",246,7
"2020-05-20","Sao Tome and Principe",251,8
"2020-05-21","Sao Tome and Principe",251,8
"2020-05-22","Sao Tome and Principe",251,8
"2020-05-23","Sao Tome and Principe",251,8
"2020-05-24","Sao Tome and Principe",291,8
"2020-05-25","Sao Tome and Principe",299,9
"2020-05-26","Sao Tome and Principe",299,11
"2020-05-27","Sao Tome and Principe",441,12
"2020-05-28","Sao Tome and Principe",443,12
"2020-05-29","Sao Tome and Principe",458,12
"2020-05-30","Sao Tome and Principe",463,12
"2020-05-31","Sao Tome and Principe",479,12
"2020-06-01","Sao Tome and Principe",483,12
"2020-06-02","Sao Tome and Principe",484,12
"2020-06-03","Sao Tome and Principe",484,12
"2020-06-04","Sao Tome and Principe",484,12
"2020-06-05","Sao Tome and Principe",499,12
"2020-06-06","Sao Tome and Principe",509,12
"2020-06-07","Sao Tome and Principe",513,12
"2020-06-08","Sao Tome and Principe",514,12
"2020-06-09","Sao Tome and Principe",514,12
"2020-06-10","Sao Tome and Principe",514,12
"2020-06-11","Sao Tome and Principe",632,12
"2020-06-12","Sao Tome and Principe",639,12
"2020-06-13","Sao Tome and Principe",650,12
"2020-06-14","Sao Tome and Principe",659,12
"2020-06-15","Sao Tome and Principe",661,12
"2020-06-16","Sao Tome and Principe",661,12
"2020-06-17","Sao Tome and Principe",671,12
"2020-06-18","Sao Tome and Principe",683,12
"2020-06-19","Sao Tome and Principe",688,12
"2020-06-20","Sao Tome and Principe",693,12
"2020-06-21","Sao Tome and Principe",698,12
"2020-06-22","Sao Tome and Principe",698,12
"2020-06-23","Sao Tome and Principe",702,12
"2020-06-24","Sao Tome and Principe",707,12
