"date","location","total_cases","total_deaths"
"2019-12-31","Vietnam","0","0"
"2020-01-01","Vietnam","0","0"
"2020-01-02","Vietnam","0","0"
"2020-01-03","Vietnam","0","0"
"2020-01-04","Vietnam","0","0"
"2020-01-05","Vietnam","0","0"
"2020-01-06","Vietnam","0","0"
"2020-01-07","Vietnam","0","0"
"2020-01-08","Vietnam","0","0"
"2020-01-09","Vietnam","0","0"
"2020-01-10","Vietnam","0","0"
"2020-01-11","Vietnam","0","0"
"2020-01-12","Vietnam","0","0"
"2020-01-13","Vietnam","0","0"
"2020-01-14","Vietnam","0","0"
"2020-01-15","Vietnam","0","0"
"2020-01-16","Vietnam","0","0"
"2020-01-17","Vietnam","0","0"
"2020-01-18","Vietnam","0","0"
"2020-01-19","Vietnam","0","0"
"2020-01-20","Vietnam","0","0"
"2020-01-21","Vietnam","0","0"
"2020-01-22","Vietnam","0","0"
"2020-01-23","Vietnam","0","0"
"2020-01-24","Vietnam","2","0"
"2020-01-25","Vietnam","2","0"
"2020-01-26","Vietnam","2","0"
"2020-01-27","Vietnam","2","0"
"2020-01-28","Vietnam","2","0"
"2020-01-29","Vietnam","2","0"
"2020-01-30","Vietnam","2","0"
"2020-01-31","Vietnam","5","0"
"2020-02-01","Vietnam","5","0"
"2020-02-02","Vietnam","7","0"
"2020-02-03","Vietnam","8","0"
"2020-02-04","Vietnam","9","0"
"2020-02-05","Vietnam","10","0"
"2020-02-06","Vietnam","10","0"
"2020-02-07","Vietnam","12","0"
"2020-02-08","Vietnam","13","0"
"2020-02-09","Vietnam","14","0"
"2020-02-10","Vietnam","14","0"
"2020-02-11","Vietnam","15","0"
"2020-02-12","Vietnam","15","0"
"2020-02-13","Vietnam","16","0"
"2020-02-14","Vietnam","16","0"
"2020-02-15","Vietnam","16","0"
"2020-02-16","Vietnam","16","0"
"2020-02-17","Vietnam","16","0"
"2020-02-18","Vietnam","16","0"
"2020-02-19","Vietnam","16","0"
"2020-02-20","Vietnam","16","0"
"2020-02-21","Vietnam","16","0"
"2020-02-22","Vietnam","16","0"
"2020-02-23","Vietnam","16","0"
"2020-02-24","Vietnam","16","0"
"2020-02-25","Vietnam","16","0"
"2020-02-26","Vietnam","16","0"
"2020-02-27","Vietnam","16","0"
"2020-02-28","Vietnam","16","0"
"2020-02-29","Vietnam","16","0"
"2020-03-01","Vietnam","16","0"
"2020-03-02","Vietnam","16","0"
"2020-03-03","Vietnam"," 16","0"
"2020-03-04","Vietnam"," 16","0"
"2020-03-05","Vietnam"," 16","0"
"2020-03-06","Vietnam"," 16","0"
"2020-03-07","Vietnam","17","0"
"2020-03-08","Vietnam","21","0"
"2020-03-09","Vietnam","30","0"
"2020-03-10","Vietnam","34","0"
"2020-03-11","Vietnam","38","0"
"2020-03-12","Vietnam","39","0"
"2020-03-13","Vietnam","44","0"
"2020-03-14","Vietnam","53","0"
"2020-03-15","Vietnam","53","0"
"2020-03-16","Vietnam","57","0"
"2020-03-17","Vietnam","61","0"
"2020-03-18","Vietnam","68","0"
"2020-03-19","Vietnam","76","0"
"2020-03-20","Vietnam","87","0"
"2020-03-21","Vietnam","88","0"
"2020-03-22","Vietnam","95","0"
"2020-03-23","Vietnam","121","0"
"2020-03-24","Vietnam","132","0"
"2020-03-25","Vietnam","137","0"
"2020-03-26","Vietnam","153","0"
"2020-03-27","Vietnam","163","0"
"2020-03-28","Vietnam","171","0"
"2020-03-29","Vietnam","188","0"
"2020-03-30","Vietnam","203","0"
"2020-03-31","Vietnam","206","0"
"2020-04-01","Vietnam","212","0"
"2020-04-02","Vietnam","233","0"
"2020-04-03","Vietnam","236","0"
"2020-04-04","Vietnam","240","0"
"2020-04-05","Vietnam","241","0"
"2020-04-06","Vietnam","245","0"
"2020-04-07","Vietnam","251","0"
"2020-04-08","Vietnam","251","0"
"2020-04-09","Vietnam","255","0"
"2020-04-10","Vietnam","257","0"
"2020-04-11","Vietnam","258","0"
"2020-04-12","Vietnam","262","0"
"2020-04-13","Vietnam","264","0"
"2020-04-14","Vietnam","267","0"
"2020-04-15","Vietnam","268","0"
"2020-04-16","Vietnam","268","0"
"2020-04-17","Vietnam","268","0"
"2020-04-18","Vietnam","268","0"
"2020-04-19","Vietnam","268","0"
"2020-04-20","Vietnam","268","0"
"2020-04-21","Vietnam","268","0"
"2020-04-22","Vietnam","268","0"
"2020-04-23","Vietnam","268","0"
"2020-04-24","Vietnam","270","0"
"2020-04-25","Vietnam","270","0"
"2020-04-26","Vietnam","270","0"
"2020-04-27","Vietnam","270","0"
"2020-04-28","Vietnam","270","0"
"2020-04-29","Vietnam","270","0"
"2020-04-30","Vietnam","270","0"
"2020-05-01","Vietnam","270","0"
"2020-05-02","Vietnam","270","0"
"2020-05-03","Vietnam","270","0"
"2020-05-04","Vietnam","271","0"
"2020-05-05","Vietnam","271","0"
"2020-05-06","Vietnam","271","0"
"2020-05-07","Vietnam","271","0"
"2020-05-08","Vietnam","288","0"
"2020-05-09","Vietnam","288","0"
"2020-05-10","Vietnam","288","0"
"2020-05-11","Vietnam","288","0"
"2020-05-12","Vietnam","288","0"
"2020-05-13","Vietnam","288","0"
"2020-05-14","Vietnam","288","0"
"2020-05-15","Vietnam","312","0"
"2020-05-16","Vietnam","313","0"
"2020-05-17","Vietnam","318","0"
"2020-05-18","Vietnam","320","0"
"2020-05-19","Vietnam","324","0"
"2020-05-20","Vietnam","324","0"
"2020-05-21","Vietnam","324","0"
"2020-05-22","Vietnam","324","0"
"2020-05-23","Vietnam","324","0"
"2020-05-24","Vietnam","324","0"
"2020-05-25","Vietnam","325","0"
"2020-05-26","Vietnam","326","0"
"2020-05-27","Vietnam","327","0"
"2020-05-28","Vietnam","327","0"
"2020-05-29","Vietnam","327","0"
"2020-05-30","Vietnam","327","0"
"2020-05-31","Vietnam","327","0"
"2020-06-01","Vietnam","328","0"
