"date","location","total_cases","total_deaths"
"2020-03-15","Mauritania",1,0
"2020-03-16","Mauritania",1,0
"2020-03-17","Mauritania",1,0
"2020-03-18","Mauritania",1,0
"2020-03-19","Mauritania",1,0
"2020-03-20","Mauritania",2,0
"2020-03-21","Mauritania",2,0
"2020-03-22","Mauritania",2,0
"2020-03-23","Mauritania",2,0
"2020-03-24","Mauritania",2,0
"2020-03-25","Mauritania",2,0
"2020-03-26","Mauritania",2,0
"2020-03-27","Mauritania",3,0
"2020-03-28","Mauritania",3,0
"2020-03-29","Mauritania",5,0
"2020-03-30","Mauritania",5,0
"2020-03-31","Mauritania",5,0
"2020-04-01","Mauritania",5,0
"2020-04-02","Mauritania",5,0
"2020-04-03","Mauritania",6,1
"2020-04-04","Mauritania",6,1
"2020-04-05","Mauritania",6,1
"2020-04-06","Mauritania",6,1
"2020-04-07","Mauritania",6,1
"2020-04-08","Mauritania",6,1
"2020-04-09","Mauritania",6,1
"2020-04-10","Mauritania",7,1
"2020-04-11","Mauritania",7,1
"2020-04-12","Mauritania",7,1
"2020-04-13","Mauritania",7,1
"2020-04-14","Mauritania",7,1
"2020-04-15","Mauritania",7,1
"2020-04-16","Mauritania",7,1
"2020-04-17","Mauritania",7,1
"2020-04-18","Mauritania",7,1
"2020-04-19","Mauritania",7,1
"2020-04-20","Mauritania",7,1
"2020-04-21","Mauritania",7,1
"2020-04-22","Mauritania",7,1
"2020-04-23","Mauritania",7,1
"2020-04-24","Mauritania",7,1
"2020-04-25","Mauritania",7,1
"2020-04-26","Mauritania",7,1
"2020-04-27","Mauritania",7,1
"2020-04-28","Mauritania",7,1
"2020-04-29","Mauritania",7,1
"2020-04-30","Mauritania",7,1
"2020-05-01","Mauritania",8,1
"2020-05-02","Mauritania",8,1
"2020-05-03","Mauritania",8,1
"2020-05-04","Mauritania",8,1
"2020-05-05","Mauritania",8,1
"2020-05-06","Mauritania",8,1
"2020-05-07","Mauritania",8,1
"2020-05-08","Mauritania",8,1
"2020-05-09","Mauritania",8,1
"2020-05-10","Mauritania",8,1
"2020-05-11","Mauritania",8,1
"2020-05-12","Mauritania",8,1
"2020-05-13","Mauritania",8,1
"2020-05-14","Mauritania",9,2
"2020-05-15","Mauritania",16,2
"2020-05-16","Mauritania",29,3
"2020-05-17","Mauritania",29,3
"2020-05-18","Mauritania",62,4
"2020-05-19","Mauritania",81,4
"2020-05-20","Mauritania",81,4
"2020-05-21","Mauritania",131,4
"2020-05-22","Mauritania",173,5
"2020-05-23","Mauritania",173,5
"2020-05-24","Mauritania",227,6
"2020-05-25","Mauritania",237,6
"2020-05-26","Mauritania",237,6
"2020-05-27","Mauritania",262,9
"2020-05-28","Mauritania",292,16
"2020-05-29","Mauritania",292,16
"2020-05-30","Mauritania",423,20
"2020-05-31","Mauritania",483,21
"2020-06-01","Mauritania",530,23
"2020-06-02","Mauritania",530,23
"2020-06-03","Mauritania",668,31
"2020-06-04","Mauritania",668,31
"2020-06-05","Mauritania",784,39
"2020-06-06","Mauritania",883,43
"2020-06-07","Mauritania",947,43
"2020-06-08","Mauritania",947,43
"2020-06-09","Mauritania",947,43
"2020-06-10","Mauritania",1162,61
"2020-06-11","Mauritania",1162,61
"2020-06-12","Mauritania",1162,61
"2020-06-13","Mauritania",1439,74
"2020-06-14","Mauritania",1439,74
"2020-06-15","Mauritania",1783,87
"2020-06-16","Mauritania",1887,91
"2020-06-17","Mauritania",2057,93
"2020-06-18","Mauritania",2057,93
"2020-06-19","Mauritania",2223,95
"2020-06-20","Mauritania",2223,95
"2020-06-21","Mauritania",2813,108
"2020-06-22","Mauritania",2813,108
"2020-06-23","Mauritania",2984,111
"2020-06-24","Mauritania",2984,111
