"date","location","total_cases","total_deaths"
"2019-12-31","India",0,0
"2020-01-01","India",0,0
"2020-01-02","India",0,0
"2020-01-03","India",0,0
"2020-01-04","India",0,0
"2020-01-05","India",0,0
"2020-01-06","India",0,0
"2020-01-07","India",0,0
"2020-01-08","India",0,0
"2020-01-09","India",0,0
"2020-01-10","India",0,0
"2020-01-11","India",0,0
"2020-01-12","India",0,0
"2020-01-13","India",0,0
"2020-01-14","India",0,0
"2020-01-15","India",0,0
"2020-01-16","India",0,0
"2020-01-17","India",0,0
"2020-01-18","India",0,0
"2020-01-19","India",0,0
"2020-01-20","India",0,0
"2020-01-21","India",0,0
"2020-01-22","India",0,0
"2020-01-23","India",0,0
"2020-01-24","India",0,0
"2020-01-25","India",0,0
"2020-01-26","India",0,0
"2020-01-27","India",0,0
"2020-01-28","India",0,0
"2020-01-29","India",0,0
"2020-01-30","India",1,0
"2020-01-31","India",1,0
"2020-02-01","India",1,0
"2020-02-02","India",2,0
"2020-02-03","India",2,0
"2020-02-04","India",3,0
"2020-02-05","India",3,0
"2020-02-06","India",3,0
"2020-02-07","India",3,0
"2020-02-08","India",3,0
"2020-02-09","India",3,0
"2020-02-10","India",3,0
"2020-02-11","India",3,0
"2020-02-12","India",3,0
"2020-02-13","India",3,0
"2020-02-14","India",3,0
"2020-02-15","India",3,0
"2020-02-16","India",3,0
"2020-02-17","India",3,0
"2020-02-18","India",3,0
"2020-02-19","India",3,0
"2020-02-20","India",3,0
"2020-02-21","India",3,0
"2020-02-22","India",3,0
"2020-02-23","India",3,0
"2020-02-24","India",3,0
"2020-02-25","India",3,0
"2020-02-26","India",3,0
"2020-02-27","India",3,0
"2020-02-28","India",3,0
"2020-02-29","India",3,0
"2020-03-01","India",3,0
"2020-03-02","India",3,0
"2020-03-03","India",5,0
"2020-03-04","India",6,0
"2020-03-05","India",28,0
"2020-03-06","India",29,0
"2020-03-07","India",31,0
"2020-03-08","India",34,0
"2020-03-09","India",34,0
"2020-03-10","India",44,0
"2020-03-11","India",50,0
"2020-03-12","India",73,0
"2020-03-13","India",75,1
"2020-03-14","India",83,2
"2020-03-15","India",90,2
"2020-03-16","India",93,2
"2020-03-17","India",125,3
"2020-03-18","India",137,3
"2020-03-19","India",165,3
"2020-03-20","India",191,4
"2020-03-21","India",231,4
"2020-03-22","India",320,4
"2020-03-23","India",439,7
"2020-03-24","India",492,9
"2020-03-25","India",562,9
"2020-03-26","India",649,13
"2020-03-27","India",724,17
"2020-03-28","India",873,19
"2020-03-29","India",979,25
"2020-03-30","India",1071,29
"2020-03-31","India",1251,32
"2020-04-01","India",1397,35
"2020-04-02","India",1965,50
"2020-04-03","India",2301,56
"2020-04-04","India",2902,68
"2020-04-05","India",3374,77
"2020-04-06","India",4067,109
"2020-04-07","India",4421,114
"2020-04-08","India",5194,149
