"date","location","total_cases","total_deaths"
"02-03-2020","Tunisia","0","0"
"03-03-2020","Tunisia","1","0"
"04-03-2020","Tunisia","   1"," 0"
"05-03-2020","Tunisia","   1"," 0"
"06-03-2020","Tunisia","   1"," 0"
"07-03-2020","Tunisia","   1"," 0"
"08-03-2020","Tunisia","   1"," 0"
"09-03-2020","Tunisia","   1"," 0"
"10-03-2020","Tunisia","2","0"
"11-03-2020","Tunisia","5","0"
"12-03-2020","Tunisia","7","0"
"13-03-2020","Tunisia","13","0"
"14-03-2020","Tunisia","16","0"
"15-03-2020","Tunisia","16","0"
"16-03-2020","Tunisia","18","0"
"17-03-2020","Tunisia","20","0"
"18-03-2020","Tunisia","24","0"
"19-03-2020","Tunisia","29","0"
"20-03-2020","Tunisia","39","0"
"21-03-2020","Tunisia","54","1"
"22-03-2020","Tunisia","60","1"
"23-03-2020","Tunisia","75","3"
"24-03-2020","Tunisia","89","3"
"25-03-2020","Tunisia","114","3"
"26-03-2020","Tunisia","173","5"
"27-03-2020","Tunisia","173","5"
"28-03-2020","Tunisia","227","6"
"29-03-2020","Tunisia","227","6"
"30-03-2020","Tunisia","278","8"
"31-03-2020","Tunisia","312","8"
"01-04-2020","Tunisia","362","9"
"02-04-2020","Tunisia","394","10"
"03-04-2020","Tunisia","455","13"
"04-04-2020","Tunisia","455","13"
"05-04-2020","Tunisia","495","18"
"06-04-2020","Tunisia","553","19"
"07-04-2020","Tunisia","574","22"
"08-04-2020","Tunisia","596","22"
"09-04-2020","Tunisia","623","23"
"10-04-2020","Tunisia","643","25"
"11-04-2020","Tunisia","671","25"
"12-04-2020","Tunisia","685","28"
"13-04-2020","Tunisia","707","31"
"14-04-2020","Tunisia","726","34"
"15-04-2020","Tunisia","747","34"
"16-04-2020","Tunisia","780","35"
"17-04-2020","Tunisia","822","37"
"18-04-2020","Tunisia","864","37"
"19-04-2020","Tunisia","866","37"
"20-04-2020","Tunisia","879","38"
"21-04-2020","Tunisia","884","38"
"22-04-2020","Tunisia","901","38"
"23-04-2020","Tunisia","901","38"
"24-04-2020","Tunisia","918","38"
"25-04-2020","Tunisia","922","38"
"26-04-2020","Tunisia","939","38"
"27-04-2020","Tunisia","949","38"
"28-04-2020","Tunisia","967","39"
"29-04-2020","Tunisia","975","40"
"30-04-2020","Tunisia","980","40"
"01-05-2020","Tunisia","994","40"
"02-05-2020","Tunisia","998","41"
"03-05-2020","Tunisia","1009","42"
"04-05-2020","Tunisia","1013","42"
"05-05-2020","Tunisia","1018","43"
"06-05-2020","Tunisia","1022","43"
"07-05-2020","Tunisia","1025","43"
"08-05-2020","Tunisia","1026","44"
"09-05-2020","Tunisia","1030","45"
"10-05-2020","Tunisia","1032","45"
"11-05-2020","Tunisia","1032","45"
"12-05-2020","Tunisia","1032","45"
"13-05-2020","Tunisia","1032","45"
"14-05-2020","Tunisia","1032","45"
"15-05-2020","Tunisia","1032","45"
"16-05-2020","Tunisia","1035","45"
"17-05-2020","Tunisia","1035","45"
"18-05-2020","Tunisia","1037","45"
"19-05-2020","Tunisia","1043","46"
"20-05-2020","Tunisia","1044","47"
"21-05-2020","Tunisia","1045","47"
"22-05-2020","Tunisia","1046","47"
"23-05-2020","Tunisia","1048","47"
"24-05-2020","Tunisia","1048","48"
"25-05-2020","Tunisia","1051","48"
"26-05-2020","Tunisia","1051","48"
"27-05-2020","Tunisia","1051","48"
"28-05-2020","Tunisia","1051","48"
"29-05-2020","Tunisia","1068","48"
"30-05-2020","Tunisia","1071","48"
"31-05-2020","Tunisia","1076","48"
"01-06-2020","Tunisia","1077","48"
"02-06-2020","Tunisia","1084","48"
"03-06-2020","Tunisia","1086","48"
"04-06-2020","Tunisia","1087","49"
"05-06-2020","Tunisia","1087","49"
"06-06-2020","Tunisia","1087","49"
"07-06-2020","Tunisia","1087","49"
"08-06-2020","Tunisia","1087","49"
"09-06-2020","Tunisia","1087","49"
"10-06-2020","Tunisia","1087","49"
"11-06-2020","Tunisia","1087","49"
"12-06-2020","Tunisia","1087","49"
"13-06-2020","Tunisia","1093","49"
"14-06-2020","Tunisia","1094","49"
"15-06-2020","Tunisia","1096","49"
"16-06-2020","Tunisia","1110","49"
"17-06-2020","Tunisia","1125","49"
"18-06-2020","Tunisia","1128","50"
"19-06-2020","Tunisia","1132","50"
"20-06-2020","Tunisia","1146","50"
"21-06-2020","Tunisia","1156","50"
"22-06-2020","Tunisia","1157","50"
"23-06-2020","Tunisia","1159","50"
"24-06-2020","Tunisia","1159","50"
