"date","location","total_cases","total_deaths"
"2020-03-13","Ghana",2,0
"2020-03-14","Ghana",2,0
"2020-03-15","Ghana",2,0
"2020-03-16","Ghana",2,0
"2020-03-17","Ghana",6,0
"2020-03-18","Ghana",6,0
"2020-03-19","Ghana",7,0
"2020-03-20","Ghana",11,0
"2020-03-21","Ghana",16,0
"2020-03-22","Ghana",21,1
"2020-03-23","Ghana",24,1
"2020-03-24","Ghana",27,2
"2020-03-25","Ghana",53,2
"2020-03-26","Ghana",68,3
"2020-03-27","Ghana",132,3
"2020-03-28","Ghana",137,3
"2020-03-29","Ghana",141,5
"2020-03-30","Ghana",152,5
"2020-03-31","Ghana",152,5
"2020-04-01","Ghana",152,5
"2020-04-02","Ghana",195,5
"2020-04-03","Ghana",204,5
"2020-04-04","Ghana",205,5
"2020-04-05","Ghana",214,5
"2020-04-06","Ghana",214,5
"2020-04-07","Ghana",287,5
"2020-04-08","Ghana",287,5
"2020-04-09","Ghana",313,6
"2020-04-10","Ghana",378,6
"2020-04-11","Ghana",378,6
"2020-04-12","Ghana",408,8
"2020-04-13","Ghana",566,8
"2020-04-14","Ghana",566,8
"2020-04-15","Ghana",636,8
"2020-04-16","Ghana",641,8
"2020-04-17","Ghana",641,8
"2020-04-18","Ghana",641,8
"2020-04-19","Ghana",834,9
"2020-04-20","Ghana",1042,9
"2020-04-21","Ghana",1042,9
"2020-04-22","Ghana",1042,9
"2020-04-23","Ghana",1154,9
"2020-04-24","Ghana",1154,9
"2020-04-25","Ghana",1279,10
"2020-04-26","Ghana",1279,10
"2020-04-27","Ghana",1550,11
"2020-04-28","Ghana",1550,11
"2020-04-29","Ghana",1671,16
"2020-04-30","Ghana",1671,16
"2020-05-01","Ghana",2074,17
"2020-05-02","Ghana",2074,17
"2020-05-03","Ghana",2169,18
"2020-05-04","Ghana",2169,18
"2020-05-05","Ghana",2719,18
"2020-05-06","Ghana",2719,18
"2020-05-07","Ghana",3091,18
"2020-05-08","Ghana",3091,18
"2020-05-09","Ghana",4012,18
"2020-05-10","Ghana",4263,22
"2020-05-11","Ghana",4263,22
"2020-05-12","Ghana",4700,22
"2020-05-13","Ghana",5127,22
"2020-05-14","Ghana",5408,24
"2020-05-15","Ghana",5530,24
"2020-05-16","Ghana",5638,28
"2020-05-17","Ghana",5735,29
"2020-05-18","Ghana",5735,29
"2020-05-19","Ghana",5735,29
"2020-05-20","Ghana",6096,31
"2020-05-21","Ghana",6269,31
"2020-05-22","Ghana",6486,31
"2020-05-23","Ghana",6617,31
"2020-05-24","Ghana",6617,31
"2020-05-25","Ghana",6683,32
"2020-05-26","Ghana",6808,32
"2020-05-27","Ghana",7117,34
"2020-05-28","Ghana",7303,34
"2020-05-29","Ghana",7303,34
"2020-05-30","Ghana",7616,34
"2020-05-31","Ghana",7768,35
"2020-06-01","Ghana",8070,36
"2020-06-02","Ghana",8070,36
"2020-06-03","Ghana",8297,38
"2020-06-04","Ghana",8548,38
"2020-06-05","Ghana",8885,38
"2020-06-06","Ghana",9168,42
"2020-06-07","Ghana",9462,44
"2020-06-08","Ghana",9638,44
"2020-06-09","Ghana",9910,48
"2020-06-10","Ghana",10201,48
"2020-06-11","Ghana",10358,48
"2020-06-12","Ghana",10358,48
"2020-06-13","Ghana",11118,48
"2020-06-14","Ghana",11422,51
"2020-06-15","Ghana",11964,54
"2020-06-16","Ghana",11964,54
"2020-06-17","Ghana",12193,58
"2020-06-18","Ghana",12590,66
"2020-06-19","Ghana",12929,66
"2020-06-20","Ghana",13203,70
"2020-06-21","Ghana",13711,85
"2020-06-22","Ghana",14154,85
"2020-06-23","Ghana",14154,85
"2020-06-24","Ghana",14568,95
"2020-06-25","Ghana",15013,95
"2020-06-26","Ghana",15473,95
"2020-06-27","Ghana",15834,103
"2020-06-28","Ghana",16431,103
"2020-06-29","Ghana",17351,112
"2020-06-30","Ghana",17351,112
"2020-07-01","Ghana",17741,112
"2020-07-02","Ghana",18134,117
"2020-07-03","Ghana",18134,117
"2020-07-04","Ghana",19388,117
"2020-07-05","Ghana",19388,117
